[SPRITES]
# ID	Left	Top	Right	Bottom	TEX_ID

# small mario map 0
159	422	118	435	135	70

# fire mario slide 0
160	439	110	454	135	70

# fire mario kick 0
161	530	108	551	135	70

# fire mario dive 0
162	554	108	573	135	70

# fire mario dive 1
163	576	110	595	135	70

# fire mario swim 0
164	598	108	617	135	70

# fire mario swim 1
165	621	108	638	135	70

# fire mario swim 2
166	641	110	660	135	70

# fire mario climb 0
167	664	110	679	135	70

# fire mario climb 1
168	683	110	698	135	70

# hammer small mario map idle front 0
169	145	220	158	235	70

# hammer mario map idle front 0
170	162	214	177	235	70

# hammer mario map idle front 1
171	181	214	196	235	70

# hammer mario idle front 0
172	450	208	465	235	70

# hammer mario idle side 0
173	211	208	226	235	70

# hammer mario walk 0
174	211	208	226	235	70

# hammer mario walk 1
175	229	208	244	235	70

# hammer mario walk 2
176	248	208	263	235	70

# hammer mario skid 0
177	267	208	282	235	70

# hammer mario throw 0
178	286	208	301	235	70

# hammer mario throw 1
179	305	208	320	235	70

# hammer mario jump 0
180	324	208	339	235	70

# hammer mario fall 0
181	248	208	263	235	70

# hammer mario run 0
182	342	208	361	235	70

# hammer mario run 1
183	364	208	383	235	70

# hammer mario run 2
184	386	208	405	235	70

# hammer mario hold 0
185	469	208	484	235	70

# hammer mario hold 1
186	488	208	503	235	70

# hammer mario hold 2
187	507	208	522	235	70

# hammer mario high jump 0
188	408	208	427	235	70

# hammer mario crouch 0
189	431	220	446	235	70

# hammer mario kick 0
190	525	208	546	235	70

# hammer mario dive 0
191	549	208	568	235	70

# hammer mario dive 1
192	571	208	590	235	70

# hammer mario swim 0
193	593	208	612	235	70

# hammer mario swim 1
194	615	208	632	235	70

# hammer mario swim 2
195	635	208	654	235	70

# hammer mario climb 0
196	658	210	673	235	70

# hammer mario climb 1
197	677	210	692	235	70

# hammer mario roll 0
198	371	364	388	383	70

# hammer mario roll 1
199	392	366	409	383	70

# hammer mario roll 2
200	413	364	430	383	70

# hammer mario roll 3
201	434	366	451	383	70

# frog small mario map idle front 0
202	168	253	183	268	70

# frog mario map idle front 0
203	187	249	202	268	70

# frog mario map idle front 1
204	206	247	221	268	70

# frog mario idle front 0
205	293	236	308	267	70

# frog mario idle side 0
206	225	245	244	268	70

# frog mario walk 0
207	311	237	326	268	70

# frog mario walk 1
208	329	237	344	268	70

# frog mario walk 2
209	348	239	363	268	70

# frog mario jump 0
210	225	245	244	268	70

# frog mario jump 1
211	248	239	267	268	70

# frog mario jump 2
212	270	239	289	268	70

# frog mario kick 0
213	366	237	387	268	70

# frog mario swim idle 0
214	391	246	414	267	70

# frog mario swim idle 1
215	417	246	440	267	70

# frog mario swim idle 0
216	391	246	414	267	70

# frog mario swim idle 1
217	417	246	440	267	70

# frog mario swim down 0
218	444	244	459	269	70

# frog mario swim down 1
219	463	246	478	269	70

# frog mario swim down 2
220	482	244	497	269	70

# frog mario swim up 0
221	501	244	516	269	70

# frog mario swim up 1
222	520	244	535	269	70

# frog mario swim up 2
223	539	242	554	269	70

# frog mario swim side 0
224	558	246	577	269	70

# frog mario swim side 1
225	581	246	602	269	70

# frog mario swim side 2
226	606	246	629	269	70

# frog mario climb 0
227	633	242	648	269	70

# frog mario climb 1
228	652	242	667	269	70

# tanooki small mario map ??? 0
229	9	291	20	306	70

# tanooki mario map ??? 0
230	24	283	39	306	70

# tanooki mario map ??? 1
231	43	283	58	306	70

# tanooki mario idle front 0
232	156	277	171	306	70

# tanooki mario idle 0
233	61	277	82	306	70

# tanooki mario spin 0
234	156	277	171	306	70

# tanooki mario spin 1
235	61	277	82	306	70

# tanooki mario spin 2
236	174	277	197	306	70

# tanooki mario spin 3
237	200	277	215	306	70

# tanooki mario walk 0
238	61	277	82	306	70

# tanooki mario walk 1
239	86	277	107	306	70

# tanooki mario walk 2
240	110	279	133	306	70

# tanooki mario skid 0
241	137	277	152	306	70

# tanooki mario jump 0
242	237	279	260	306	70

# tanooki mario fall 0
243	263	279	286	306	70

# tanooki mario run 0
244	263	279	286	306	70

# tanooki mario run 1
245	289	279	312	306	70

# tanooki mario run 2
246	316	279	337	306	70

# tanooki mario speed up 0
247	340	279	363	306	70

# tanooki mario speed up 1
248	366	279	389	306	70

# tanooki mario speed up 2
249	392	279	415	306	70

# tanooki mario fly 0
250	419	278	442	305	70

# tanooki mario fly 1
251	446	278	469	305	70

# tanooki mario fly 2
252	473	278	496	305	70

# tanooki mario crouch 0
253	499	288	520	305	70

# tanooki mario statue 0
254	524	276	539	305	70

# tanooki mario slide 0
255	543	278	558	305	70

# tanooki mario hold 0
256	562	276	583	305	70

# tanooki mario hold 1
257	586	276	607	305	70

# tanooki mario hold 2
258	610	278	633	305	70

# tanooki mario kick 0
259	636	278	657	305	70

# tanooki mario dive 0
260	661	278	684	305	70

# tanooki mario dive 1
261	688	278	711	305	70

# tanooki mario swim 0
262	715	278	738	305	70

# tanooki mario swim 1
263	741	278	764	305	70

# tanooki mario swim 2
264	768	278	791	305	70

# tanooki mario climb 0
265	795	279	810	306	70

# tanooki mario climb 1
266	814	279	829	306	70

# tanooki mario roll 0
267	319	390	342	409	70

# tanooki mario roll 1
268	345	390	366	409	70

# tanooki mario roll 2
269	370	386	389	409	70

# tanooki mario roll 3
270	393	388	412	409	70

# tanooki mario roll 4
271	415	390	438	409	70

# tanooki mario roll 5
272	441	390	462	409	70

# tanooki mario roll 6
273	466	386	485	409	70

# tanooki mario roll 7
274	489	388	508	409	70

[ANIMATIONS]
# ID_Anim	ID_Sprite_1	Time_1	ID_Sprite_2	Time_2 ...

# small mario map
0	0	100	1	100

# small mario idle front
1	18	100

# small mario idle
2	19	100

# small mario walk
3	2	100	3	100

# small mario skid
4	4	100

# small mario run
5	6	100	7	100

# small mario jump
6	5	100

# small mario high jump
7	8	100

# small mario die
8	10	100

# small mario slide
9	9	100

# small mario hold
10	11	100	12	100

# small mario hold idle
11	11	100

# small mario hold fall
12	12	100

# small mario kick
13	13	100

# small mario dive
14	14	100	15	100

# small mario swim
15	16	100	17	100

# small mario climb
16	21	100	22	100

# big mario map
17	23	100	24	100

# big mario idle
18	47	100

# big mario idle front
19	48	100

# big mario walk
20	25	100	26	100	27	100	26	100

# big mario skid
21	28	100

# big mario run
22	25	100	26	100	27	100	26	100

# big mario high speed
23	31	100	32	100	33	100

# big mario jump
24	29	100

# big mario fall
25	30	100

# big mario high jump
26	34	100

# big mario crouch
27	35	100

# big mario slide
28	36	100

# big mario hold
29	37	100	38	100	39	100

# big mario hold idle
30	37	100

# big mario hold fall
31	39	100

# big mario kick
32	40	100

# big mario dive
33	41	100	42	100

# big mario swim
34	43	100	44	100	45	100

# big mario climb
35	49	100	50	100

# big mario roll
36	51	100	52	100	53	100	54	100	55	100	56	100	57	100	58	100

# big luigi map
37	59	100

# big luigi idle
38	82	100

# big luigi idle front
39	83	100

# big luigi walk
40	60	100	61	100	62	100	61	100

# big luigi skid
41	63	100

# big luigi run
42	60	100	61	100	62	100	61	100

# big luigi high speed
43	66	100	67	100	68	100

# big luigi jump
44	64	100

# big luigi fall
45	65	100

# big luigi high jump
46	69	100

# big luigi crouch
47	70	100

# big luigi slide
48	71	100

# big luigi hold
49	72	100	73	100	74	100

# big luigi hold idle
50	72	100

# big luigi hold fall
51	74	100

# big luigi kick
52	75	100

# big luigi dive
53	76	100	77	100

# big luigi swim
54	78	100	79	100	80	100

# big luigi climb
55	84	100	85	100

# big luigi roll
56	86	100	87	100	88	100	89	100	90	100	91	100	92	100	93	100

# raccoon mario map
57	94	100	95	100

# raccoon mario idle front
58	131	100

# raccoon mario idle
59	130	100

# raccoon mario walk
60	96	100	97	100	98	100	97	100

# raccoon mario skid
61	99	100

# raccoon mario float
62	109	30	110	30

# raccoon mario jump
63	106	100

# raccoon mario fall
64	107	100

# raccoon mario speed up
65	111	100	112	100	113	100

# raccoon mario fly
66	114	100	115	100	116	100

# raccoon mario spin
67	100	100	102	100	103	100	104	100	105	100

# raccoon mario crouch
68	117	100

# raccoon mario slide
69	118	100

# raccoon mario hold
70	119	100	120	100	121	100

# raccoon mario hold idle
71	119	100

# raccoon mario hold fall
72	121	100

# raccoon mario kick
73	122	100

# raccoon mario dive
74	123	100	124	100

# raccoon mario swim
75	125	100	126	100	127	100

# raccoon mario climb
76	128	100	129	100

# raccoon mario roll
77	132	100	133	100	134	100	135	100	136	100	137	100	138	100	139	100

# fire mario map
78	140	100	141	100

# fire mario map ???
79

# fire mario idle front
80	142	100

# fire mario idle
81	143	100

# fire mario walk
82	144	100	145	100	146	100	145	100

# fire mario skid
83	147	100

# fire mario throw
84	148	100	149	100

# fire ball
85

# fire mario run
86	144	100	145	100	146	100	145	100

# fire mario high speed
87	152	100	153	100	154	100

# fire mario jump
88	150	100

# fire mario fall
89	151	100

# fire mario high jump
90	158	100

# fire mario crouch
91	159	100

# fire mario slide
92	160	100

# fire mario hold
93	155	100	156	100	157	100

# fire mario hold idle
94	155	100

# fire mario hold fall
95	157	100

# fire mario kick
96	161	100

# fire mario dive
97	162	100	163	100

# fire mario swim
98	164	100	165	100	166	100

# fire mario climb
99	167	100	168	100

# hammer small mario map idle front
100	169	100

# hammer mario map idle front
101	170	100	171	100

# hammer mario idle front
102	172	100

# hammer mario idle side
103	173	100

# hammer mario walk
104	174	100	175	100	176	100

# hammer mario skid
105	177	100

# hammer mario throw
106	178	100	179	100

# hammer mario run
107	182	100	183	100	184	100

# hammer mario jump
108	180	100

# hammer mario fall
109	181	100

# hammer mario high jump
110	188	100

# hammer mario crouch
111	189	100

# hammer mario hold
112	185	100	186	100	187	100

# hammer mario kick
113	190	100

# hammer mario dive
114	191	100	192	100

# hammer mario swim
115	193	100	194	100	195	100

# hammer mario climb
116	196	100	197	100

# hammer mario roll
117	198	100	199	100	200	100	201	100

# frog small mario map idle front
118	202	100

# frog mario map idle front
119	203	100	204	100

# frog mario idle front
120	205	100

# frog mario idle
121

# frog mario walk
122	207	100	208	100	209	100

# frog mario jump
123	210	100	211	100	212	100

# frog mario kick
124	213	100

# frog mario swim idle
125	216	100	217	100

# frog mario swim down
126	218	100	219	100	220	100

# frog mario swim up
127	221	100	222	100	223	100

# frog mario swim side
128	224	100	225	100	226	100

# frog mario climb
129	227	100	228	100

# tanooki small mario map ???
130	229	100

# tanooki mario map ???
131	230	100	231	100

# tanooki mario idle front
132	232	100

# tanooki mario idle
133	233	100

# tanooki mario spin
134	234	100	235	100	236	100	237	100

# tanooki mario walk
135	238	100	239	100	240	100

# tanooki mario skid
136	241	100

# tanooki mario run
137	244	100	245	100	246	100

# tanooki mario jump
138	242	100

# tanooki mario fall
139	243	100

# tanooki mario speed up
140	247	100	248	100	249	100

# tanooki mario fly
141	250	100	251	100	252	100

# tanooki mario crouch
142	253	100

# tanooki mario statue
143	254	100

# tanooki mario slide
144	255	100

# tanooki mario hold
145	256	100	257	100	258	100

# tanooki mario kick
146	259	100

# tanooki mario dive
147	260	100	261	100

# tanooki mario swim
148	262	100	263	100	264	100

# tanooki mario climb
149	265	100	266	100

# tanooki mario roll
150	267	100	268	100	269	100	270	100	271	100	272	100	273	100	274	100

